observation_datetime,value
2025-04-07 06:00,64.45
2025-05-13 18:00,67.34
2025-05-14 18:00,66.95
2025-05-15 13:00,66.60
2025-05-15 14:00,66.68
2025-05-15 17:00,66.64
2025-05-15 18:00,66.69
2025-05-16 18:00,66.78
2025-05-19 15:00,66.57
2025-05-19 16:00,66.54
2025-05-19 17:00,66.47
2025-05-20 14:00,66.73
2025-05-20 15:00,66.76
2025-05-20 16:00,66.94
2025-05-20 17:00,66.87
2025-05-21 17:00,66.62
2025-05-22 15:00,66.50
2025-05-22 17:00,66.54
2025-05-22 18:00,66.47
2025-05-23 14:00,66.44
2025-05-23 15:00,66.44
2025-05-23 16:00,66.41
2025-05-23 18:00,66.37
2025-05-27 16:00,65.90
2025-05-27 18:00,65.94
2025-05-28 16:00,66.33
2025-05-28 17:00,66.26
2025-05-28 18:00,66.04
2025-05-29 14:00,65.55
2025-05-29 15:00,65.37
2025-05-29 17:00,65.37
2025-05-29 18:00,65.33
2025-05-30 14:00,64.98
2025-05-30 15:00,64.76
2025-05-30 16:00,64.91
2025-05-30 17:00,65.01
2025-05-30 18:00,65.16
2025-06-02 16:00,65.67
2025-06-02 17:00,65.71
2025-06-02 18:00,65.89
2025-06-03 16:00,66.16
2025-06-03 18:00,66.34
2025-06-04 17:00,65.84
2025-06-04 18:00,65.87
2025-06-05 16:00,66.01
2025-06-05 18:00,66.05
2025-06-06 15:00,66.28
2025-06-06 16:00,66.28
2025-06-06 18:00,66.24
2025-06-10 14:00,66.28
2025-06-10 15:00,66.28
2025-06-10 16:00,66.45
2025-06-11 17:00,66.58
2025-06-11 18:00,67.04
2025-06-12 15:00,66.78
2025-06-12 16:00,66.89
2025-06-12 17:00,66.56
2025-06-12 18:00,66.89
2025-06-17 18:00,68.81
2025-06-18 11:00,68.73
2025-06-18 12:00,68.70
2025-06-18 13:00,68.80
2025-06-20 15:00,68.61
2025-06-20 16:00,68.32
2025-06-20 17:00,68.39
2025-06-20 18:00,68.64
2025-06-23 08:00,68.74
2025-06-23 10:00,69.09
2025-06-23 12:00,68.74
2025-06-23 13:00,69.11
2025-06-23 14:00,68.86
2025-06-23 16:00,69.15
2025-06-23 17:00,67.97
2025-06-23 18:00,67.90
2025-06-24 13:00,67.74
2025-06-24 14:00,67.49
2025-06-24 15:00,67.13
2025-06-24 16:00,67.09
2025-06-24 17:00,66.95
2025-06-24 18:00,66.92
2025-06-25 16:00,66.76
2025-06-25 17:00,66.71
2025-06-25 18:00,66.46
2025-06-26 16:00,66.81
2025-07-01 17:00,66.32
2025-07-01 18:00,66.32
2025-07-22 14:00,66.90
2025-07-22 15:00,66.85
2025-07-23 16:00,66.59
2025-07-23 17:00,66.64
2025-08-04 18:00,66.40
2025-08-06 16:00,66.32
2025-08-06 17:00,66.17
2025-08-06 18:00,65.82
2025-08-07 14:00,66.31
2025-08-07 15:00,66.36
2025-08-07 16:00,66.36
2025-08-07 18:00,66.28
2025-08-08 17:00,65.91
2025-08-08 18:00,65.81
2025-08-11 16:00,65.93
2025-08-11 17:00,65.93
2025-08-11 18:00,65.88
2025-08-13 18:00,65.66
2025-08-19 18:00,66.29
2025-08-22 17:00,67.03
2025-08-25 17:00,67.54
2025-08-27 18:00,66.85
2025-08-29 16:00,66.82
2025-08-29 17:00,66.76
2025-09-03 11:00,67.78
2025-09-03 14:00,67.54
2025-09-04 16:00,67.14
2025-09-04 18:00,66.89
2025-09-05 16:00,66.30
2025-09-16 18:00,67.45
2025-09-17 16:00,67.18
2025-09-19 16:00,66.25
2025-09-19 17:00,66.25
2025-09-19 18:00,66.31
2025-09-26 16:00,67.46
2025-09-26 17:00,67.31
2025-09-26 18:00,67.52
2025-10-01 13:00,66.50
2025-10-01 15:00,66.49
2025-10-03 18:00,66.12
2025-10-17 06:00,64.41
2025-10-17 07:00,65.09
2025-10-28 14:00,65.50
2025-11-04 09:00,65.48
2025-11-04 12:00,65.56
2025-11-04 13:00,65.45
2025-11-04 18:00,65.83
2025-11-05 01:00,65.40
2025-11-05 12:00,65.46
2025-11-05 15:00,65.59
2025-11-05 16:00,65.46
2025-11-05 18:00,65.40
2025-11-05 19:00,65.41
2025-11-05 20:00,65.41
2025-11-06 13:00,65.64
2025-11-06 14:00,65.45
2025-11-06 15:00,65.30
2025-11-13 15:00,64.69
2025-11-13 16:00,64.68
2025-11-13 18:00,64.50
2025-11-14 15:00,64.91
2025-11-17 14:00,64.94
2025-11-18 06:00,64.82
2025-11-18 18:00,65.17
2025-11-21 07:00,64.21
2025-11-21 09:00,64.16
2025-11-21 15:00,64.38
2025-11-25 09:00,64.47
2025-11-25 12:00,64.25
2025-11-25 14:00,63.99
2025-11-25 15:00,63.99
2025-11-25 16:00,64.20
2025-11-26 06:00,64.64
2025-11-26 14:00,64.47
2025-11-26 15:00,64.54
2025-11-26 16:00,64.66
2025-12-02 13:00,64.65
2025-12-02 21:00,64.21
2025-12-03 16:00,64.65
2025-12-04 15:00,64.46
2025-12-08 09:00,64.49
2025-12-10 14:00,63.82
2025-12-11 16:00,63.59
2025-12-12 14:00,63.76
2025-12-17 14:00,63.01
2025-12-19 10:00,63.14
2025-12-19 15:00,63.13
2025-12-22 13:00,63.68
2025-12-23 16:00,63.56
2026-01-04 23:00,62.87
2026-01-05 08:00,62.67
2026-01-07 13:00,62.83
2026-01-07 14:00,62.87
2026-01-07 18:00,62.46
2026-01-08 18:00,63.03
2026-01-08 19:00,63.40
2026-01-09 15:00,63.85
2026-01-09 16:00,63.71
2026-01-13 15:00,64.32
2026-01-13 18:00,64.39
2026-01-13 19:00,64.46
2026-01-13 20:00,64.55
2026-01-14 12:00,64.90
2026-01-14 16:00,65.01
2026-01-14 19:00,65.17
2026-01-14 20:00,64.52
2026-01-15 14:00,64.05
2026-01-15 15:00,64.15
2026-01-15 19:00,63.92
2026-01-20 08:00,63.60
2026-01-20 09:00,64.04
2026-01-20 14:00,64.32
2026-01-20 15:00,64.58
2026-01-20 16:00,64.54
2026-01-20 17:00,64.44
2026-01-21 10:00,64.60
2026-01-21 14:00,65.00
2026-01-21 16:00,65.10
2026-01-21 17:00,64.92
2026-01-22 08:00,64.88
2026-01-22 09:00,64.81
2026-01-22 12:00,64.63
2026-01-22 14:00,64.59
2026-01-22 19:00,64.47
2026-01-22 20:00,64.50
2026-01-23 09:00,64.90
2026-01-23 14:00,65.46
2026-01-26 11:00,65.42
2026-01-26 12:00,65.26
2026-01-26 16:00,64.91
2026-01-26 18:00,65.24
2026-01-27 12:00,65.07
2026-01-27 14:00,65.21
2026-01-27 15:00,65.27
2026-01-28 17:00,65.61
2026-01-28 20:00,65.68
2026-01-29 10:00,65.95
2026-01-29 14:00,66.32
2026-01-29 15:00,66.18
2026-01-30 11:00,65.97
2026-01-30 15:00,66.48
2026-01-30 16:00,66.46
2026-01-30 20:00,66.30
2026-02-01 23:00,66.51
2026-02-02 09:00,64.66
2026-02-02 10:00,64.56
2026-02-02 13:00,64.72
2026-02-02 16:00,64.63
2026-02-03 14:00,64.75
2026-02-03 15:00,64.93
2026-02-03 16:00,64.91
2026-02-04 07:00,65.26
2026-02-04 19:00,65.74
2026-02-27 13:00,65.99
2026-03-02 12:00,67.09
2026-03-02 13:00,67.21
2026-03-02 17:00,66.56
2026-03-02 21:00,66.24
2026-03-03 09:00,67.30
2026-03-04 18:00,67.11
2026-03-05 09:00,67.54
2026-03-08 22:00,70.02
2026-03-09 05:00,71.60
2026-03-09 07:00,71.30
2026-03-09 13:00,70.24
2026-03-12 16:00,70.15
2026-03-18 12:00,73.17
2026-03-18 13:00,73.96
